Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,5,300
Original Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9879338842975208,0.0519480519480519,0.2,0.0298507462686567,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,5,300
Original Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9869421487603306,0.0919540229885057,0.2,0.0597014925373134,5,300
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,5,300
Original- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9863636363636364,0.0983606557377049,0.1836734693877551,0.0671641791044776,5,300
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,5,300
Original Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9879338842975208,0.0519480519480519,0.2,0.0298507462686567,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,5,300
Original Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9869421487603306,0.0919540229885057,0.2,0.0597014925373134,5,300
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,5,300
Original- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9863636363636364,0.0983606557377049,0.1836734693877551,0.0671641791044776,5,300
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,5,300
Original Over Sampled,XGBoost - AL - Query By Committee,0.9882644628099172,0.1341463414634146,0.3666666666666666,0.0820895522388059,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,5,300
Original Under Sampled,XGBoost - AL - Query By Committee,0.985702479338843,0.1306532663316583,0.2,0.0970149253731343,5,300
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,5,300
Original- Normal,XGBoost - AL - Query By Committee,0.984793388429752,0.1067961165048543,0.1527777777777778,0.0820895522388059,5,300
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,5,300
Original Over Sampled,XGBoost - SSL - Self Training,0.987603305785124,0.074074074074074,0.2142857142857142,0.044776119402985,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,5,300
Original Under Sampled,XGBoost - SSL - Self Training,0.985206611570248,0.1596244131455399,0.2151898734177215,0.126865671641791,5,300
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,5,300
Original- Normal,XGBoost - SSL - Self Training,0.988099173553719,0.0769230769230769,0.2727272727272727,0.044776119402985,5,300
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,5,300
Original Over Sampled,XGBoost - SSL - Co Training,0.9882644628099172,0.0533333333333333,0.25,0.0298507462686567,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,5,300
Original Under Sampled,XGBoost - SSL - Co Training,0.9854545454545456,0.1111111111111111,0.171875,0.0820895522388059,5,300
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,5,300
Original- Normal,XGBoost - SSL - Co Training,0.9882644628099172,0.0779220779220779,0.3,0.044776119402985,5,300
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,10,150
Original Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9879338842975208,0.0875,0.2692307692307692,0.0522388059701492,10,150
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,10,150
Original Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9867768595041322,0.0909090909090909,0.1904761904761904,0.0597014925373134,10,150
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,10,150
Original- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9861157024793388,0.1063829787234042,0.1851851851851851,0.0746268656716417,10,150
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,10,150
Original Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9879338842975208,0.0875,0.2692307692307692,0.0522388059701492,10,150
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,10,150
Original Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9867768595041322,0.0909090909090909,0.1904761904761904,0.0597014925373134,10,150
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,10,150
Original- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9861157024793388,0.1063829787234042,0.1851851851851851,0.0746268656716417,10,150
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,10,150
Original Over Sampled,XGBoost - AL - Query By Committee,0.9881818181818182,0.1226993865030674,0.3448275862068966,0.0746268656716417,10,150
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,10,150
Original Under Sampled,XGBoost - AL - Query By Committee,0.9847107438016528,0.0796019900497512,0.1194029850746268,0.0597014925373134,10,150
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,10,150
Original- Normal,XGBoost - AL - Query By Committee,0.9857851239669422,0.1041666666666666,0.1724137931034483,0.0746268656716417,10,150
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,10,150
Original Over Sampled,XGBoost - SSL - Self Training,0.9885123966942148,0.1032258064516129,0.3809523809523809,0.0597014925373134,10,150
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,10,150
Original Under Sampled,XGBoost - SSL - Self Training,0.9836363636363636,0.1,0.127906976744186,0.0820895522388059,10,150
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,10,150
Original- Normal,XGBoost - SSL - Self Training,0.9878512396694216,0.0636942675159235,0.217391304347826,0.0373134328358208,10,150
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,10,150
Original Over Sampled,XGBoost - SSL - Co Training,0.9884297520661156,0.0909090909090909,0.35,0.0522388059701492,10,150
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,10,150
Original Under Sampled,XGBoost - SSL - Co Training,0.9856198347107438,0.1386138613861386,0.2058823529411764,0.1044776119402985,10,150
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,10,150
Original- Normal,XGBoost - SSL - Co Training,0.988099173553719,0.0526315789473684,0.2222222222222222,0.0298507462686567,10,150
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,15,100
Original Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9881818181818182,0.0891719745222929,0.3043478260869565,0.0522388059701492,15,100
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,15,100
Original Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9863636363636364,0.0983606557377049,0.1836734693877551,0.0671641791044776,15,100
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,15,100
Original- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.986611570247934,0.1098901098901098,0.2083333333333333,0.0746268656716417,15,100
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,15,100
Original Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9881818181818182,0.0891719745222929,0.3043478260869565,0.0522388059701492,15,100
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,15,100
Original Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9863636363636364,0.0983606557377049,0.1836734693877551,0.0671641791044776,15,100
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,15,100
Original- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.986611570247934,0.1098901098901098,0.2083333333333333,0.0746268656716417,15,100
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,15,100
Original Over Sampled,XGBoost - AL - Query By Committee,0.9874380165289256,0.0843373493975903,0.21875,0.0522388059701492,15,100
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,15,100
Original Under Sampled,XGBoost - AL - Query By Committee,0.9848760330578512,0.0710659898477157,0.1111111111111111,0.0522388059701492,15,100
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,15,100
Original- Normal,XGBoost - AL - Query By Committee,0.986198347107438,0.1164021164021164,0.2,0.0820895522388059,15,100
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,15,100
Original Over Sampled,XGBoost - SSL - Self Training,0.9884297520661156,0.0666666666666666,0.3125,0.0373134328358208,15,100
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,15,100
Original Under Sampled,XGBoost - SSL - Self Training,0.985206611570248,0.1435406698564593,0.2,0.1119402985074626,15,100
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,15,100
Original- Normal,XGBoost - SSL - Self Training,0.988099173553719,0.1111111111111111,0.3214285714285714,0.0671641791044776,15,100
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,15,100
Original Over Sampled,XGBoost - SSL - Co Training,0.98801652892562,0.064516129032258,0.238095238095238,0.0373134328358208,15,100
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,15,100
Original Under Sampled,XGBoost - SSL - Co Training,0.9861157024793388,0.134020618556701,0.2166666666666666,0.0970149253731343,15,100
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,15,100
Original- Normal,XGBoost - SSL - Co Training,0.9881818181818182,0.065359477124183,0.2631578947368421,0.0373134328358208,15,100
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,20,75
Original Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.988099173553719,0.0526315789473684,0.2222222222222222,0.0298507462686567,20,75
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,20,75
Original Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9861157024793388,0.0967741935483871,0.173076923076923,0.0671641791044776,20,75
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,20,75
Original- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9868595041322314,0.1016949152542373,0.2093023255813953,0.0671641791044776,20,75
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,20,75
Original Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.988099173553719,0.0526315789473684,0.2222222222222222,0.0298507462686567,20,75
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,20,75
Original Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9861157024793388,0.0967741935483871,0.173076923076923,0.0671641791044776,20,75
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,20,75
Original- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9868595041322314,0.1016949152542373,0.2093023255813953,0.0671641791044776,20,75
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,20,75
Original Over Sampled,XGBoost - AL - Query By Committee,0.98801652892562,0.0993788819875776,0.2962962962962963,0.0597014925373134,20,75
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,20,75
Original Under Sampled,XGBoost - AL - Query By Committee,0.9855371900826446,0.0837696335078534,0.1403508771929824,0.0597014925373134,20,75
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,20,75
Original- Normal,XGBoost - AL - Query By Committee,0.9856198347107438,0.1386138613861386,0.2058823529411764,0.1044776119402985,20,75
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,20,75
Original Over Sampled,XGBoost - SSL - Self Training,0.988595041322314,0.1038961038961039,0.4,0.0597014925373134,20,75
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,20,75
Original Under Sampled,XGBoost - SSL - Self Training,0.9853719008264464,0.1280788177339901,0.1884057971014492,0.0970149253731343,20,75
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,20,75
Original- Normal,XGBoost - SSL - Self Training,0.9874380165289256,0.0843373493975903,0.21875,0.0522388059701492,20,75
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,20,75
Original Over Sampled,XGBoost - SSL - Co Training,0.98801652892562,0.0268456375838926,0.1333333333333333,0.0149253731343283,20,75
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,20,75
Original Under Sampled,XGBoost - SSL - Co Training,0.9863636363636364,0.1538461538461538,0.2459016393442623,0.1119402985074626,20,75
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,20,75
Original- Normal,XGBoost - SSL - Co Training,0.9884297520661156,0.0789473684210526,0.3333333333333333,0.044776119402985,20,75
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,25,60
Original Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9882644628099172,0.0533333333333333,0.25,0.0298507462686567,25,60
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,25,60
Original Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9865289256198349,0.0994475138121546,0.1914893617021276,0.0671641791044776,25,60
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,25,60
Original- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.986611570247934,0.0795454545454545,0.1666666666666666,0.0522388059701492,25,60
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,25,60
Original Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9882644628099172,0.0533333333333333,0.25,0.0298507462686567,25,60
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,25,60
Original Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9865289256198349,0.0994475138121546,0.1914893617021276,0.0671641791044776,25,60
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,25,60
Original- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.986611570247934,0.0795454545454545,0.1666666666666666,0.0522388059701492,25,60
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,25,60
Original Over Sampled,XGBoost - AL - Query By Committee,0.9872727272727272,0.0833333333333333,0.2058823529411764,0.0522388059701492,25,60
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,25,60
Original Under Sampled,XGBoost - AL - Query By Committee,0.9850413223140496,0.1170731707317073,0.1690140845070422,0.0895522388059701,25,60
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,25,60
Original- Normal,XGBoost - AL - Query By Committee,0.9861157024793388,0.1428571428571428,0.2258064516129032,0.1044776119402985,25,60
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,25,60
Original Over Sampled,XGBoost - SSL - Self Training,0.988099173553719,0.0769230769230769,0.2727272727272727,0.044776119402985,25,60
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,25,60
Original Under Sampled,XGBoost - SSL - Self Training,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,25,60
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,25,60
Original- Normal,XGBoost - SSL - Self Training,0.988099173553719,0.0769230769230769,0.2727272727272727,0.044776119402985,25,60
Original Over Sampled,XGBoost - Fine Tuned,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,25,60
Original Over Sampled,XGBoost - SSL - Co Training,0.9881818181818182,0.065359477124183,0.2631578947368421,0.0373134328358208,25,60
Original Under Sampled,XGBoost - Fine Tuned,0.9852892561983472,0.1442307692307692,0.2027027027027027,0.1119402985074626,25,60
Original Under Sampled,XGBoost - SSL - Co Training,0.985702479338843,0.1393034825870646,0.208955223880597,0.1044776119402985,25,60
Original- Normal,XGBoost - Fine Tuned,0.9875206611570247,0.0958083832335329,0.2424242424242424,0.0597014925373134,25,60
Original- Normal,XGBoost - SSL - Co Training,0.988595041322314,0.0921052631578947,0.3888888888888889,0.0522388059701492,25,60
